Title,Abstract,Citations
NEUROTECHNOLOGY AND ITS ETHICAL IMPLICATIONS FOR TEACHING AND RESEARCH IN DIVERSE EDUCATIONAL ENVIRONMENTS,… This advance in research using neurotechnology is accelerating its incorporation into … any educational project that incorporates the use of neurotechnology. This paper aims to relate the …,0
Neurotechnology: the need for neuroethicists,… In this paper I will argue that the ethical discussion of neurotechnology is crucial as it … neurotechnology. In this paper my aim is to expand the common understanding of neurotechnology …,0
Freedom of thinking and neurotechnology: ensuring free thought in the age of brain-computer interfaces,Our world is turning into a real-life depiction of what for a long time only existed in science fiction books. Smartphones allow us to access vast amounts of information from any serviced …,0
"Policy, Identity, and Neurotechnology The Neuroethics of Brain-Computer Interfaces",In this volume the authors explore the landscape of thought on the ethical and policy implications of Brain Computer Interface (BCI) technology. BCI technology is a promising and …,0
"NEUROSCIENCE, NEUROTECHNOLOGY & SPORT: AN ETHICAL-EDUCATIONAL PATH BETWEEN UTOPIA AND DYSTOPIA","In the field of NBIC Nanotechnology, Biotechnology, Infotechnology and Cognitive science, Neurosciences occupy vast areas of research. Technological developments in neuroscience …",0
Organic electrochemical transistors for neurotechnology,… This thesis opens with the motivations to develop neurotechnology in society by considering … transistors and their applications in neurotechnology is then examined. Foundational to this …,0
Resizing freedom of thought or new (neuro) human rights? Challenges and perspectives from neurotechnology,¿Redimensionamiento de la libertad de pensamiento o nuevos (neuro)derechos humanos? Desafíos y perspectivas desde la neurote Page 1 Revista Mexicana de Derecho …,0
Analysis and design of closed-loop fractional-order systems and its applications to neurotechnology,Recent rapid developments in the field of neurotechnology and neurostimulation techniques have enabled millions of people all over the world to lead increasingly normal lives in spite …,0
Semantic processing for neurotechnology: Exploiting the N400 for Brain Computer Interfacing,"C devices have become an increasing part of our lives. We control these tools through the use of keyboards and mice, through touchscreens, and sometimes even by voice. These input …",0
The effective neural drive to muscles is the common synaptic input to motor neurons,"Key points Despite the non‐linear property of individual motor neurons, the pool of motor neurons linearizes the relation between their common synaptic input and the neural drive to the …",165
